F1,Precision,Recall,Accuracy,Time
0.9251453031706853,0.9258915557807975,0.9244002525252525,0.9271758436944938,92315
0.9079232706655974,0.9082060202079176,0.9076406971239199,0.9094138543516874,115078
0.8922491975296449,0.8969443525399572,0.8876029411764705,0.8934280639431617,91413
0.8872769840427651,0.8948741855866621,0.8798076923076923,0.872113676731794,79937
0.8907507620026824,0.8946265803226323,0.8869083814735989,0.8863232682060391,75909
0.804553521171641,0.8294221509439712,0.7811327561327561,0.7815275310834814,111613
0.8940793998836358,0.8962569196089812,0.8919124353906963,0.8880994671403197,109853
0.858347089569023,0.8583559413269355,0.8583382379936753,0.8596802841918295,87185
0.9145768790085892,0.9134487852587325,0.9157077625570776,0.911190053285968,91185
0.9222471286938267,0.9217718794835006,0.9227228682170543,0.9236234458259325,45747
0.8737313482096739,0.8755408623397679,0.8719292982386544,0.8756660746003553,60069
0.8883379871534368,0.8878708823903612,0.8888055836585249,0.8898756660746003,72450
0.902612992408952,0.9060355365700963,0.8992162082224193,0.9005328596802842,61113
0.9347774235276132,0.9372643700589963,0.9323036398467432,0.9307282415630551,55283
0.7962155846122926,0.8389377582762005,0.7576337468226774,0.7495559502664298,62673
0.8719760534550355,0.8758794531229215,0.8681072908090439,0.866785079928952,62242
0.9159926791114029,0.9142744998896797,0.917717328377267,0.9147424511545293,89069
0.8910858561551179,0.890840711563193,0.891331135703634,0.8916518650088809,225583
0.9059486306029421,0.9085440256202086,0.9033680216329982,0.9023090586145648,59337
0.8974894427135319,0.9027037504519724,0.8923350280567324,0.8916518650088809,74361
0.8799515117196319,0.8914487339144874,0.8687470780738663,0.8703374777975134,97789
0.9319711868180437,0.9314328036489801,0.9325101927353596,0.9307282415630551,71477
0.8994813303183228,0.9019947375785986,0.8969818913480885,0.8969804618117229,48879
0.9091316963566993,0.9131969004135936,0.905102525368093,0.9040852575488455,79220
0.8781023866222928,0.8764722859134584,0.8797385620915033,0.8738898756660746,60985
0.9117295627453945,0.91325771382077,0.9102065172270652,0.911190053285968,66234
0.8942894122930968,0.8954140628078368,0.8931675833827372,0.8916518650088809,141591
0.8781979773133411,0.8882732102303132,0.8683487375933419,0.8703374777975134,51321
0.9060812685934905,0.9057123946817623,0.9064504430938007,0.9058614564831261,79127
0.8737912370283999,0.877293502730751,0.870316823106199,0.872113676731794,61736
